Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.42331317180992,5.02744420733983,3.8671387951343,6.32526616861466,3.89717798992193,5.41400357079434,5.85712634217094,5.44383103450177,-3.00445593013346,0.865669260237084,0.959511247241267,-0.821836474216894,2.3498566632458,1.15385109200403,4.31475061116335,3.24225521171914,3.24410095889466,3.82749920546897,2.88734334414875,-3.01509514759861
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.250573949689084,6.06953087648317,4.62589474959299,2.70582170611173,4.55664565323181,8.36387109282306,5.79255577727118,3.25207295796832,-14.1442346163423,10.1222091179732,6.83852974803483,-0.170900761456892,11.1028237779771,5.69477738185952,-4.85133564036167,7.20442475914267,4.1143636634186,4.18809355373698,3.0322025744566,-8.72875252639037
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.38989640095637,3.05346185909312,1.14082899824888,5.75996463670954,3.20213206130431,3.96198871122617,6.06987060678338,5.09419544658736,-0.125812002161169,7.52822581815364,3.97442307944702,1.92117598576537,3.00482266944432,0.503955740242247,-3.54576339269425,-3.27591690782192,1.32286905404399,1.783666761634,1.22077782360842,-3.2767587964736
British Virgin Islands,VGB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.46606051123892,3.96143911729992,3.58342892575843,0.104538440167488,-0.00392518871980485,4.09841260978121,-3.76362347570418,-3.90071082085659,-1.90025386182131,2.74136433514822,3.74440638728039,0.913135324414256,-2.12478318620758,-2.50788721630481,-0.392383487933529,-2.47791776520457,1.32872651318183,0.0523710544736673,3.86884416432889,1.13357340605403
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.82370437398085,5.87193118968936,5.23715363472283,6.51042517431171,7.05634921181696,6.80258898745842,6.65438764900219,6.12955879901182,-3.34714136704206,1.55535963462032,2.09017527015538,0.748814896796574,-0.542751603030155,0.949448985090484,3.39755325869422,3.02662893138918,2.74592644707793,2.5494643471818,3.78885036478003,-3.21573743445016
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.61340574539679,4.35296382988099,7.80249388870359,4.47845213670386,8.66187322841225,6.25316468817478,4.11137901761516,5.79999174105387,2.96195085866692,8.44628157707625,6.62256261306693,6.45267237953146,5.79258484509867,4.32684561452976,3.9212287937935,5.95797670754024,6.20348941121868,6.60456906812341,5.88920497068135,2.01077262406221
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.05580710835243,4.44651941224797,-1.22372796023444,4.83365776809453,0.900000000901912,5.41380714491444,3.45194856381943,4.86171636712641,3.81274536633418,5.12415999439806,4.03259998844415,4.44670633111495,4.92418989834684,4.24065021402657,-3.9000000804855,-0.600000909116389,0.500001262429279,1.60993542127714,1.81256532401552,0.327156892638385
Cabo Verde,CPV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.23165454528898,5.25089116960211,4.17625932578332,10.197072633926,6.91245795720201,7.98375044795048,15.1706879735517,7.03901129565128,-1.50358672385678,1.83641914989978,3.92471821338283,1.08364848376166,0.632136727385131,0.696666840118581,0.936026507808833,4.28071482662371,4.5513148102974,3.70696458310842,6.94782634051859,-20.8052758990735
Cambodia,KHM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.38971065070517,6.26507280509637,10.2836813071691,9.45769481103929,13.3033338358455,10.9433600681694,10.398458101201,7.47636606631011,4.07477850599065,5.07691843229247,7.28665813879552,7.65025657870362,7.8574997554252,8.00032074618566,7.20703472529512,7.90550116130704,8.07503915535979,8.77622376224463,7.93695013588524,-3.55572193406549
Cameroon,CMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.32426119221549,4.47702683369155,5.45315368881347,7.04886281858374,2.22827020924117,3.80958327566137,4.32758900972871,2.8476778892105,2.57925177738754,2.89902472122014,3.37921128506045,4.62597872209571,4.99552916130783,5.71981814509198,5.66695298703932,4.53579423678801,3.54117654926007,3.95551423892049,3.47505998194981,0.259932915907115
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.87509813216803,2.9992553495694,1.80638513484521,3.09236383456562,3.21045435651203,2.6379438004107,2.04990461109004,0.995406309993598,-2.91508623949733,3.09080637403602,3.13719438973661,1.75566132540601,2.32581357393478,2.87346677184995,0.649970993709132,1.03855093491798,3.03383490260789,2.74296343112555,1.9084319253883,-5.03823344128351
Cayman Islands,CYM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,3.16262522652799,-0.357401201092983,-7.20048244664706,-2.71563526217577,1.16906219839106,1.22975365701149,1.27933101999021,2.65452798451271,2.8331222262961,3.23997433895669,3.18404592334522,4.26726745249641,3.91563534249416,-4.95480640759244
Central African Republic,CAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.46473902640867,3.61654219150596,-5.39748521855877,5.99488422798696,0.908210514871953,4.77108543044105,4.60753485452025,2.05413096200485,8.58726042640994,4.63081843223307,4.19461533741989,5.05376125356918,-36.3919770983887,0.0810705153264877,4.33712103020231,4.75031684122342,4.52727821346231,3.78944359275462,3.09999999999999,0.899999996857062
Chad,TCD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,11.658134654294,8.49120981898056,14.7216670121033,33.6293718524659,17.3325337350837,0.648262014094513,3.27149957888643,3.05269153196828,4.21769555189633,13.5501008595489,0.0828697984381961,8.88257607170316,5.70000136285864,6.89998504532166,2.76767568484473,-6.25552708545281,-2.98869598553931,2.37403780037786,3.24718191743429,-1.60000673705524
Channel Islands,CHI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,-3.6066320695533,1.12504262460223,-5.7536617430689,0.493931288300132,2.42710194939819,0.374367230875421,1.21302461173511,1.80648020062763,1.12224468139542,1.57335515790562,-8.89677952309607
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.154034924374,3.20279913985533,4.72324526681116,6.67425416745972,5.83704571525745,6.04999082904382,5.16823098722429,3.7893928023371,-1.1180372326977,5.85165101730949,6.22389678693851,6.15534002096459,3.30850824469113,1.79264947361806,2.15194249853634,1.75303874553305,1.35769537797211,3.99002947521676,0.634367533828438,-6.14347479224092
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.33573347817196,9.13363078966614,10.0380304810393,10.1136213776263,11.3945918098927,12.7209556654032,14.2308609331955,9.65067891939361,9.39872563259674,10.6358710644913,9.55083217877568,7.86373644862111,7.76615009773009,7.42576365632412,7.04132887873656,6.84876220495761,6.94720079331685,6.7497738324959,5.95050075367413,2.23863835634639
Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.67789830787579,2.50398046659659,3.91827190322513,5.33302206759905,4.82876110773741,6.71686869844402,6.73819469090975,3.28344618616541,1.13964864548062,4.49465897070922,6.94789198173555,3.91263576716115,5.13399351995672,4.49903000110972,2.95590137527523,2.08738250162794,1.35936086788746,2.56432428277704,3.18685539245533,-7.18591413760859
Comoros,COM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.33290710182874,2.3249448613998,2.1038716355305,1.91965980712278,2.83754786988332,2.6469554759412,0.800042348955387,3.96461118871815,3.24074072826829,3.77776674982255,4.1435066947591,3.16840986908748,4.4662473147818,2.10665758942474,1.14735076108914,3.32044656240026,3.81576287682401,3.6424511379732,1.76078023923176,-0.195556827149787
"Congo, Dem. Rep.",COD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.10017302488846,2.94776518359767,5.57782231144424,6.73837393324294,6.13515115548972,5.32097956548998,6.25947776437397,6.22589426869193,2.85506401011484,7.10797657581392,6.8746708900163,7.08689894671942,8.48195663608755,9.4702880993101,6.91616711922561,2.39939891133452,3.7269476588301,5.82112109969025,4.38452887429834,1.73542276681493
"Congo, Rep.",COG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.80260189913561,4.58187006108889,0.813264076303781,3.47663162118089,7.75575897806648,7.98623836334291,-6.61399480441001,6.30637595585259,11.6372888615758,9.93126543095578,2.20591936286718,9.94715314257564,-0.712434451876447,6.64606540928447,0.415193061293763,-8.68524343913786,-5.59477371915547,-2.30431780125842,1.12447391976529,-6.26777227963225
Costa Rica,CRI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.49116989434005,3.41687639041064,4.31717986636224,4.42459959654504,3.97666636818026,7.3266954325067,8.21513198348715,4.73817487754022,-0.873455942787785,5.36034352634111,4.40315923970431,4.88259241025739,2.49476611209954,3.54210987765977,3.65208096802883,4.20432325175899,4.1576989627609,2.6159044043379,2.41751181762513,-4.27335432161462
